symbol,name,current,chg,percent,last_close,open,high,low,volume,amount,market_capital,pe_ttm,high52w,low52w,hasexist
SH600153,建发股份,8.49,0.05,0.59,8.44,8.48,8.65,8.41,20164665.0,172019534.0,24070852499.7,7.042,12.63,6.91,false
SH600155,华创阳安,10.0,-0.1,-0.99,10.1,10.11,10.54,9.77,35164582.0,354940646.0,17395566480.0,114.264,11.11,5.68,false
SH600156,华升股份,5.54,0.5,9.92,5.04,5.04,5.54,4.95,20851135.0,112313345.0,2227693289.08,None,5.54,2.86,false
SH600157,永泰能源,2.13,-0.06,-2.74,2.19,2.14,2.27,2.08,530719207.0,1153957446.0,26466944044.38,119.314,3.25,1.25,false
SH600158,中体产业,10.53,0.23,2.23,10.3,10.25,10.54,10.01,40306544.0,413828825.0,8884533477.69,140.87,13.43,6.9,false
SH600159,大龙地产,3.02,0.1,3.42,2.92,2.92,3.14,2.92,24227540.0,73155288.0,2506609760.64,89.85,3.66,2.04,false
SH600160,巨化股份,7.72,-0.06,-0.77,7.78,7.81,7.89,7.66,30576597.0,237243592.0,21192682315.16,11.901,10.25,6.26,false
SH600161,天坛生物,22.11,-0.46,-2.04,22.57,22.51,22.7,22.06,5918805.0,132579285.0,19260883400.55,33.486,23.95,16.8,false
SH600162,香江控股,2.7,0.08,3.05,2.62,2.6,2.75,2.58,60534649.0,161971005.0,9178184044.8,13.359,3.17,1.78,false
SH600163,中闽能源,3.8,-0.05,-1.3,3.85,3.81,3.9,3.75,8652068.0,33229989.0,3797967874.0,22.955,4.4,2.61,false
SH600165,新日恒力,5.12,0.04,0.79,5.08,5.24,5.48,5.02,53391781.0,279759990.0,3506604928.0,89.125,14.86,3.03,false
SH600166,福田汽车,2.07,0.01,0.49,2.06,2.05,2.13,2.03,121178288.0,252335864.0,13807171770.3,None,2.68,1.49,false
SH600167,联美控股,12.92,0.3,2.38,12.62,12.58,13.28,12.52,4149942.0,53895546.0,22740387399.68,20.817,13.28,7.15,false
SH600168,武汉控股,6.5,-0.05,-0.76,6.55,6.55,6.63,6.45,5202407.0,34121782.0,4612202998.0,15.758,8.11,5.33,false
SH600169,太原重工,2.9,-0.08,-2.68,2.98,2.99,3.07,2.88,110786300.0,329595032.0,7435469500.0,179.62,3.19,2.07,false
SH600170,上海建工,3.5,-0.02,-0.57,3.52,3.52,3.62,3.47,55720298.0,197345870.0,31165392048.0,11.416,3.8,2.79,false
SH600171,上海贝岭,11.99,0.17,1.44,11.82,11.75,12.27,11.74,35967880.0,432968196.0,8388318072.86,76.56,16.67,7.55,false
SH600172,黄河旋风,4.01,-0.04,-0.99,4.05,4.01,4.14,3.96,53745767.0,217826869.0,5820153093.49,17.6,9.62,2.76,false
SH600173,卧龙地产,4.67,0.07,1.52,4.6,4.56,4.78,4.56,13923228.0,65147862.0,3276603899.48,8.068,5.46,3.01,false
SH600175,美都能源,2.61,0.07,2.76,2.54,2.51,2.67,2.49,193288308.0,501592573.0,9334635697.53,53.018,5.1,1.88,false
SH600176,中国巨石,10.81,-0.21,-1.91,11.02,11.15,11.15,10.76,59897990.0,655167781.0,37859937037.69,15.079,14.52,8.7,false
SH600177,雅戈尔,8.41,-0.18,-2.1,8.59,8.59,8.69,8.35,29858516.0,255126912.0,30119972238.73,None,8.79,6.76,false
SH600178,东安动力,5.27,0.02,0.38,5.25,5.25,5.45,5.22,11896180.0,63420192.0,2435161600.0,38.528,7.27,3.74,false
SH600179,安通控股,6.98,0.04,0.58,6.94,6.95,7.08,6.87,14587640.0,101681917.0,10379119806.7,14.863,14.88,5.74,false
SH600180,瑞茂通,8.24,0.04,0.49,8.2,8.21,8.25,7.93,6753307.0,54865854.0,8375774303.36,11.332,12.72,6.48,false
SH600182,S佳通,17.02,0.78,4.8,16.24,16.2,17.05,16.15,7030846.0,118216934.0,5786800000.0,60.919,27.73,14.45,false
SH600183,生益科技,11.8,-0.2,-1.67,12.0,12.0,12.2,11.59,39473386.0,470098015.0,24986392726.2,24.875,12.95,8.15,false
SH600184,光电股份,11.22,0.04,0.36,11.18,11.14,11.63,11.06,7574393.0,86006721.0,5708296467.72,83.199,18.94,9.32,false
SH600185,格力地产,4.7,0.03,0.64,4.67,4.66,4.76,4.65,15131113.0,71348815.0,9682574086.2,16.194,5.95,3.55,false
SH600186,莲花健康,2.15,0.04,1.9,2.11,2.08,2.23,2.07,63284308.0,135632950.0,2283352268.65,None,2.74,1.58,false
SH600187,国中水务,3.33,0.05,1.52,3.28,3.3,3.39,3.18,86790990.0,285273256.0,5507603976.24,807.891,5.69,2.12,false
SH600188,兖州煤业,10.52,0.1,0.96,10.42,10.51,10.76,10.33,52527117.0,553195749.0,51674408320.0,6.965,15.44,8.36,false
SH600189,吉林森工,4.38,0.0,0.0,4.38,4.37,4.46,4.33,7263620.0,31871828.0,3139911961.26,30.926,6.05,3.33,false
SH600190,锦州港,3.42,-0.04,-1.16,3.46,3.48,3.49,3.36,18195280.0,62440263.0,6847836930.0,39.701,4.06,2.52,false
SH600191,华资实业,5.37,-0.05,-0.92,5.42,5.27,5.62,5.1,31892394.0,172464435.0,2604084840.0,None,9.04,3.45,false
SH600192,长城电工,6.53,-0.2,-2.97,6.73,6.7,6.99,6.48,28038255.0,188724742.0,2884614440.0,186.807,7.37,3.92,false
SH600193,*ST创兴,3.73,0.0,0.0,3.73,3.71,3.84,3.69,8869501.0,33478280.0,1586641290.0,26.381,5.15,2.2,false
SH600195,中牧股份,12.14,-0.23,-1.86,12.37,12.3,12.39,12.02,8399099.0,102828889.0,7304880800.0,15.379,16.76,9.9,false
SH600196,复星医药,28.48,0.11,0.39,28.37,28.21,29.08,28.02,53927782.0,1539146309.0,72995974289.6,26.076,47.9,20.61,false
SH600197,伊力特,16.58,0.32,1.97,16.26,16.4,17.29,16.4,20290138.0,340236501.0,7311780000.0,16.562,26.03,11.95,false
SH600198,*ST大唐,8.4,-0.16,-1.87,8.56,8.55,8.64,8.25,18193167.0,153557356.0,7409711164.8,None,9.88,4.84,false
SH600199,金种子酒,5.59,0.13,2.38,5.46,5.45,5.84,5.42,32419740.0,183084228.0,3106782261.18,642.707,7.96,4.26,false
SH600200,江苏吴中,6.9,-0.02,-0.29,6.92,6.89,7.05,6.8,13366187.0,92667665.0,4981054510.2,33.972,11.36,4.85,false
SH600201,生物股份,15.99,-0.73,-4.37,16.72,16.8,16.8,15.87,49866841.0,809577224.0,18542890501.59,21.35,23.6,13.86,false
SH600202,*ST哈空,4.05,0.03,0.75,4.02,4.01,4.11,4.01,4894853.0,19878646.0,1552529721.6,None,9.21,2.67,false
SH600203,福日电子,5.47,-0.09,-1.62,5.56,5.55,5.61,5.39,18047725.0,99201143.0,2496765746.4,None,10.89,3.9,false
SH600206,有研新材,8.23,-0.1,-1.2,8.33,8.31,8.45,8.1,34031624.0,281552371.0,6971454664.13,110.117,11.96,5.8,false
SH600207,安彩高科,4.91,-0.08,-1.6,4.99,4.97,5.04,4.83,12045221.0,59677053.0,4237113832.34,None,10.7,3.76,false
SH600208,新湖中宝,3.73,0.05,1.36,3.68,3.63,3.77,3.62,88591418.0,327170590.0,32075551389.28,9.541,4.82,2.76,false
SH600209,*ST罗顿,3.9,-0.09,-2.26,3.99,3.92,4.02,3.87,10088496.0,39739646.0,1712143559.1,None,11.18,2.35,false
SH600210,紫江企业,4.33,0.15,3.59,4.18,4.25,4.36,4.17,73558717.0,314599855.0,6567467564.14,23.744,5.22,2.67,false
SH600211,西藏药业,31.64,-0.59,-1.83,32.23,32.23,32.52,31.32,2777069.0,88517295.0,5683151646.2,17.432,46.61,24.65,false
SH600212,江泉实业,4.36,0.02,0.46,4.34,4.32,4.42,4.28,21518755.0,93692210.0,2230999848.68,None,8.07,2.73,false
SH600213,亚星客车,6.98,-0.11,-1.55,7.09,7.09,7.23,6.86,6512690.0,45919725.0,1535600000.0,40.943,11.6,5.25,false
SH600215,长春经开,8.05,-0.06,-0.74,8.11,8.11,8.12,7.95,10838408.0,87144600.0,3743514684.0,49.244,11.48,6.23,false
SH600216,浙江医药,9.85,-0.11,-1.1,9.96,9.83,10.07,9.73,27262186.0,270706168.0,9507791300.0,14.945,17.97,7.81,false
SH600217,中再资环,4.87,0.0,0.0,4.87,4.85,4.94,4.82,6296231.0,30725952.0,6762773138.34,24.52,6.8,3.96,false
SH600218,全柴动力,11.44,-1.27,-9.99,12.71,11.88,12.37,11.44,68243231.0,804889568.0,4218557200.0,135.499,14.7,4.08,false
SH600219,南山铝业,2.49,-0.01,-0.4,2.5,2.49,2.53,2.47,169422491.0,423999048.0,29756698984.8,17.647,3.03,2.09,false
SH600220,江苏阳光,2.79,0.11,4.1,2.68,2.67,2.85,2.66,58688450.0,162764721.0,4975519509.54,36.884,2.97,1.83,false
SH600221,海航控股,2.22,0.01,0.45,2.21,2.19,2.26,2.18,249328715.0,552392398.0,37309587132.6,28.829,2.91,1.75,false
SH600222,太龙药业,4.29,-0.07,-1.61,4.36,4.33,4.38,4.2,9813539.0,42281622.0,2461972154.07,308.411,5.73,3.05,false
SH600223,鲁商置业,3.49,-0.02,-0.57,3.51,3.51,3.55,3.45,10684626.0,37573939.0,3493378320.0,30.296,3.93,2.54,false
SH600225,天津松江,3.48,0.12,3.57,3.36,3.33,3.54,3.31,26256429.0,90227364.0,3255514296.72,None,4.53,2.41,false
SH600226,瀚叶股份,3.63,-0.17,-4.47,3.8,3.75,4.11,3.43,297380839.0,1117688672.0,11393263740.87,44.752,4.11,2.43,false
SH600227,圣济堂,3.39,-0.02,-0.59,3.41,3.39,3.48,3.32,50527401.0,172267961.0,5739724941.39,22.72,5.93,2.6,false
