"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年2月12日","3,160.00","3,195.00","3,199.00","3,104.00","0.03K","0.13%"
"2019年2月11日","3,156.00","3,175.00","3,280.00","3,033.00","0.04K","-1.96%"
"2019年2月1日","3,219.00","3,145.00","3,235.00","3,145.00","0.05K","-0.92%"
"2019年1月31日","3,249.00","3,303.00","3,328.00","3,185.00","0.81K","-2.96%"
"2019年1月30日","3,348.00","3,380.00","3,389.00","3,310.00","0.57K","-1.53%"
"2019年1月29日","3,400.00","3,445.00","3,445.00","3,387.00","0.38K","-19.18%"
"2019年1月28日","4,207.00","4,140.00","4,150.00","4,100.00","0.03K","1.23%"
"2019年1月25日","4,156.00","4,187.00","4,190.00","4,127.00","0.15K","-0.43%"
"2019年1月24日","4,174.00","4,199.00","4,199.00","4,156.00","0.18K","-0.52%"
"2019年1月23日","4,196.00","4,204.00","4,204.00","4,187.00","0.11K","-0.19%"
"2019年1月22日","4,204.00","4,206.00","4,220.00","4,177.00","0.08K","-0.50%"
"2019年1月21日","4,225.00","4,250.00","4,250.00","4,216.00","0.03K","-2.33%"
"2019年1月18日","4,326.00","4,315.00","4,357.00","4,315.00","0.04K","-0.12%"
"2019年1月17日","4,331.00","4,370.00","4,370.00","4,312.00","0.05K","-0.48%"
"2019年1月16日","4,352.00","4,311.00","4,368.00","4,311.00","0.03K","0.58%"
"2019年1月15日","4,327.00","4,303.00","4,337.00","4,303.00","0.03K","-0.67%"
"2019年1月14日","4,356.00","4,338.00","4,364.00","4,338.00","0.03K","-0.09%"
"2019年1月11日","4,360.00","4,360.00","4,365.00","4,328.00","0.08K","0.23%"
"2019年1月10日","4,350.00","4,313.00","4,360.00","4,313.00","0.19K","0.25%"
"2019年1月9日","4,339.00","4,345.00","4,349.00","4,271.00","0.17K","0.16%"
"2019年1月8日","4,332.00","4,350.00","4,350.00","4,308.00","0.04K","0.19%"
"2019年1月7日","4,324.00","4,326.00","4,335.00","4,301.00","0.02K","0.65%"
"2019年1月4日","4,296.00","4,311.00","4,315.00","4,280.00","0.03K","0.35%"
"2019年1月3日","4,281.00","4,264.00","4,286.00","4,264.00","0.02K","0.85%"
"2019年1月2日","4,245.00","4,270.00","4,285.00","4,200.00","1.16K","-0.75%"
